race_id,race_date,stadium_code,stadium_name,race_no,distance_m,grade,meeting_day_no,meeting_day_label,is_final_day,weather_condition,weather_temp_c,wind_speed_m,wind_direction_code,water_temp_c,wave_height_cm,first_place_lane,second_place_lane,third_place_lane,exacta_combo,exacta_payout,trifecta_combo,trifecta_payout,winning_technique,a1_count,a2_count,b1_count,b2_count,avg_national_win_rate,max_national_win_rate,lane1_national_win_rate,lane1_local_win_rate,lane1_motor_place_rate,best_exhibition_time,best_exhibition_lane,lane1_vs_best_exhibition_diff,is_rough_race
202401031405,2024-01-03,14,鳴門,5,1800,一般,5,第5日,False,晴,,2,,,2,1,2,3,1-2,1320,1-2-3,3080,逃げ,0,2,4,0,5.162,6.68,4.33,4.69,40.12,6.76,5,0.03,0
202401031510,2024-01-03,15,丸亀,10,1800,一般,5,第5日,False,雨,,5,,,5,1,3,2,1-3,460,1-3-2,980,逃げ,1,4,1,0,6.165,7.39,6.38,5.31,41.18,6.74,5,0.05,0
202401040307,2024-01-04,03,江戸川,7,1800,一般,3,第3日,False,晴,,8,,,10,2,1,4,2-1,560,2-1-4,1760,抜き,0,2,4,0,4.85,6.83,3.4,5.04,30.5,6.65,3,0.03,0
202401040310,2024-01-04,03,江戸川,10,1200,一般,3,第3日,False,晴,,8,,,10,1,3,2,1-3,370,1-3-2,1350,逃げ,2,1,2,1,5.405,6.72,6.15,6.19,35.57,6.57,1,0.0,0
202401040501,2024-01-04,05,多摩川,1,1800,一般,2,第2日,False,晴,,4,,,2,4,1,3,4-1,380,4-1-3,1210,まくり,1,1,4,0,5.44,7.29,5.96,5.65,39.22,6.64,4,0.1,0
202401040508,2024-01-04,05,多摩川,8,1800,一般,2,第2日,False,晴,,3,,,2,6,5,4,6-5,9180,6-5-4,27010,まくり差し,1,1,4,0,5.005,6.85,5.41,5.62,30.46,6.71,3,0.05,1
202401040703,2024-01-04,07,蒲郡,3,1800,一般,5,第5日,False,晴,,3,,,1,2,4,1,2-4,2390,2-4-1,11060,まくり,1,1,4,0,4.932,6.29,3.16,2.44,59.17,6.67,1,0.0,1
202401040711,2024-01-04,07,蒲郡,11,1800,一般,5,第5日,False,晴,,2,,,1,1,2,3,1-2,690,1-2-3,2790,逃げ,2,3,1,0,5.642,7.76,3.92,4.79,35.83,6.64,2,0.02,0
202401040802,2024-01-04,08,常滑,2,1800,一般,6,第6日,False,晴,,4,,,3,1,2,4,1-2,390,1-2-4,990,逃げ,1,1,4,0,4.993,7.1,4.87,4.89,41.67,6.78,2,0.05,0
202401041202,2024-01-04,12,住之江,2,1800,一般,3,第3日,False,曇り,,0,,,1,3,5,2,3-5,1680,3-5-2,3050,まくり差し,2,1,2,1,5.098,7.69,4.51,5.2,34.76,6.83,3,0.06,0
202401041406,2024-01-04,14,鳴門,6,1200,一般,6,第6日,False,晴,,7,,,7,4,2,3,4-2,3120,4-2-3,9990,まくり,1,0,5,0,4.263,6.1,4.65,5.13,43.09,7.0,6,0.07,0
202401041705,2024-01-04,17,宮島,5,1800,一般,6,第6日,False,晴,,1,,,1,1,2,3,1-2,440,1-2-3,1280,逃げ,1,0,4,1,4.708,6.0,4.12,4.89,26.32,6.73,1,0.0,0
202401041909,2024-01-04,19,下関,9,1800,一般,1,第1日,False,晴,,1,,,1,1,6,3,1-6,1100,1-6-3,8190,逃げ,0,1,5,0,4.388,6.33,6.33,5.94,28.8,6.7,4,0.1,0
202401041910,2024-01-04,19,下関,10,1800,一般,1,第1日,False,晴,,1,,,1,4,2,1,4-2,9820,4-2-1,32020,まくり差し,1,2,3,0,5.22,6.31,6.31,6.44,32.34,6.7,3,0.07,1
202401042306,2024-01-04,23,唐津,6,1800,一般,3,第3日,False,晴,,3,,,3,1,2,3,1-2,3780,1-2-3,8570,抜き,2,1,3,0,5.188,7.21,3.95,4.4,32.58,6.68,1,0.0,0
202401050108,2024-01-05,01,桐生,8,1800,一般,4,第4日,False,晴,,2,,,1,5,1,3,5-1,480,5-1-3,1950,まくり差し,1,1,4,0,5.218,6.23,6.07,5.8,0.0,6.72,5,0.0,0
202401050204,2024-01-05,02,戸田,4,1800,一般,3,第3日,False,晴,,0,,,0,1,2,5,1-2,600,1-2-5,1940,逃げ,2,2,2,0,5.883,7.29,5.83,3.93,31.18,6.6,1,0.0,0
202401050401,2024-01-05,04,平和島,1,1800,一般,3,第3日,False,晴,,1,,,3,1,5,3,1-5,1140,1-5-3,5960,逃げ,0,2,3,1,4.737,5.73,4.66,5.56,33.33,6.63,5,0.15,0
202401050501,2024-01-05,05,多摩川,1,1800,一般,3,第3日,False,晴,,1,,,2,1,5,4,1-5,950,1-5-4,1470,逃げ,1,1,3,1,4.337,6.1,5.72,5.32,36.3,6.67,1,0.0,0
202401051208,2024-01-05,12,住之江,8,1800,一般,4,第4日,False,晴,,0,,,1,1,4,5,1-4,620,1-4-5,3100,逃げ,2,1,3,0,5.405,7.18,7.18,6.65,35.33,6.66,2,0.16,0
202401051312,2024-01-05,13,尼崎,12,1800,一般,2,第2日,False,晴,,4,,,0,1,3,5,1-3,590,1-3-5,1630,逃げ,1,2,3,0,5.758,7.39,5.95,6.54,31.13,6.79,1,0.0,0
202401051505,2024-01-05,15,丸亀,5,1800,一般,1,第1日,False,晴,,3,,,3,4,3,2,4-3,1550,4-3-2,15740,まくり,1,2,3,0,5.38,6.72,5.11,6.18,42.68,6.72,4,0.0,1
202401051901,2024-01-05,19,下関,1,1800,一般,2,第2日,False,曇り,,1,,,1,2,4,6,2-4,3470,2-4-6,11930,差し,0,1,5,0,4.725,5.24,5.24,2.0,29.88,6.73,1,0.0,1
202401052311,2024-01-05,23,唐津,11,1800,一般,4,第4日,False,晴,,4,,,4,1,3,2,1-3,200,1-3-2,940,逃げ,2,3,1,0,6.057,7.39,6.86,7.96,26.09,6.6,3,0.13,0
202401060109,2024-01-06,01,桐生,9,1800,一般,5,第5日,False,晴,,1,,,1,1,3,4,1-3,720,1-3-4,2870,逃げ,3,2,1,0,6.05,6.8,6.23,6.0,57.14,6.62,1,0.0,0
202401060202,2024-01-06,02,戸田,2,1800,一般,4,第4日,False,晴,,0,,,0,4,1,2,4-1,3030,4-1-2,7940,まくり差し,0,4,1,1,5.078,6.24,4.72,4.91,45.45,6.68,2,0.03,0
202401060307,2024-01-06,03,江戸川,7,1800,一般,5,第5日,False,晴,,3,,,5,1,3,4,1-3,390,1-3-4,1180,逃げ,0,1,5,0,4.487,5.4,4.61,4.42,27.54,6.76,1,0.0,0
202401060411,2024-01-06,04,平和島,11,1800,一般,4,第4日,False,晴,,0,,,3,3,2,1,3-2,3660,3-2-1,6120,抜き,2,2,2,0,5.773,6.74,6.74,6.67,38.46,6.55,3,0.12,0
202401060601,2024-01-06,06,浜名湖,1,1800,一般,1,第1日,False,晴,,3,,,2,1,3,4,1-3,430,1-3-4,1090,抜き,0,0,6,0,4.092,5.19,4.04,4.52,24.82,6.73,4,0.04,0
202401061307,2024-01-06,13,尼崎,7,1800,一般,3,第3日,False,晴,,3,,,0,4,6,3,4-6,3460,4-6-3,13640,まくり,1,2,1,2,5.42,5.95,4.84,6.52,35.63,6.78,1,0.0,1
202401061803,2024-01-06,18,徳山,3,1800,一般,1,第1日,False,曇り,,1,,,1,1,5,2,1-5,340,1-5-2,1890,逃げ,1,1,3,1,4.255,6.49,6.49,6.76,28.18,6.89,1,0.0,0
202401061808,2024-01-06,18,徳山,8,1800,一般,1,第1日,False,曇り,,1,,,1,1,3,5,1-3,380,1-3-5,920,逃げ,1,1,4,0,4.583,6.68,3.96,3.71,35.0,6.85,6,0.05,0
202401062402,2024-01-06,24,大村,2,1800,一般,6,第6日,False,晴,,4,,,3,2,3,5,2-3,800,2-3-5,2900,まくり,0,0,6,0,4.057,5.21,3.38,4.78,29.2,6.72,2,0.09,0
202401070103,2024-01-07,01,桐生,3,1800,一般,6,第6日,False,晴,,2,,,1,1,2,4,1-2,340,1-2-4,1560,逃げ,0,1,5,0,4.742,5.8,5.43,5.38,0.0,6.77,6,0.1,0
202401070304,2024-01-07,03,江戸川,4,1800,一般,6,第6日,False,晴,,5,,,5,4,3,1,4-3,1280,4-3-1,5280,抜き,0,2,4,0,4.79,6.2,3.96,4.74,46.21,6.81,4,0.12,0
202401070306,2024-01-07,03,江戸川,6,1800,一般,6,第6日,False,晴,,6,,,10,1,3,2,1-3,1120,1-3-2,2350,逃げ,1,0,4,1,4.707,6.5,4.51,5.21,43.24,6.88,1,0.0,0
202401070511,2024-01-07,05,多摩川,11,1800,一般,5,第5日,False,曇り,,2,,,2,1,5,4,1-5,2200,1-5-4,7810,逃げ,1,0,5,0,4.963,6.1,4.9,4.77,30.51,6.74,2,0.04,0
202401070608,2024-01-07,06,浜名湖,8,1800,一般,2,第2日,False,晴,,4,,,2,1,5,3,1-5,1070,1-5-3,1790,逃げ,1,2,3,0,5.045,7.43,5.19,5.43,28.0,6.69,5,0.09,0
202401070912,2024-01-07,09,津,12,1200,一般,1,第1日,False,晴,,5,,,3,1,5,3,1-5,1260,1-5-3,4540,逃げ,6,0,0,0,6.785,7.47,7.21,7.44,11.76,6.67,1,0.0,0
202401071103,2024-01-07,11,びわこ,3,1800,一般,5,第5日,False,晴,,2,,,2,4,5,6,4-5,3000,4-5-6,51080,まくり,1,2,2,1,4.828,6.67,5.99,6.69,29.94,6.8,3,0.12,1
202401071810,2024-01-07,18,徳山,10,1800,一般,2,第2日,False,晴,,5,,,5,1,6,2,1-6,2940,1-6-2,13840,逃げ,1,1,4,0,4.528,6.07,5.08,0.0,37.22,7.02,1,0.0,1
202401072202,2024-01-07,22,福岡,2,1800,一般,5,第5日,False,曇り,,5,,,5,2,1,4,2-1,1220,2-1-4,5030,差し,2,1,2,1,5.583,6.65,3.93,3.91,42.65,6.84,1,0.0,0
202401072408,2024-01-07,24,大村,8,1800,一般,7,第7日,False,晴,,8,,,7,1,2,3,1-2,330,1-2-3,500,逃げ,0,0,3,3,3.48,4.78,4.78,4.29,23.7,6.91,1,0.0,0
202401080206,2024-01-08,02,戸田,6,1800,一般,6,第6日,False,晴,,6,,,5,1,5,4,1-5,820,1-5-4,3270,逃げ,0,3,3,0,5.157,6.24,4.6,5.44,34.48,6.82,4,0.07,0
202401080207,2024-01-08,02,戸田,7,1800,一般,6,第6日,False,晴,,6,,,5,3,2,6,3-2,5440,3-2-6,18950,抜き,1,0,4,1,4.048,7.29,7.29,6.28,45.83,6.67,6,0.22,1
202401080208,2024-01-08,02,戸田,8,1800,一般,6,第6日,False,晴,,5,,,4,2,4,6,2-4,820,2-4-6,6410,差し,2,4,0,0,6.085,6.7,6.22,5.58,40.48,6.72,4,0.16,0
202401080210,2024-01-08,02,戸田,10,1800,一般,6,第6日,False,晴,,6,,,5,3,1,5,3-1,2280,3-1-5,7180,まくり,1,3,2,0,5.392,6.08,4.55,5.4,39.39,6.76,2,0.03,0
202401080403,2024-01-08,04,平和島,3,1800,一般,6,第6日,False,晴,,2,,,3,1,2,4,1-2,1660,1-2-4,4820,逃げ,0,2,3,1,5.337,6.04,4.3,2.72,22.88,6.56,2,0.01,0
202401080905,2024-01-08,09,津,5,1800,一般,2,第2日,False,晴,,3,,,2,1,3,2,1-3,280,1-3-2,490,抜き,1,0,4,1,4.41,6.45,6.45,6.92,29.63,6.72,3,0.02,0
202401081102,2024-01-08,11,びわこ,2,1800,一般,6,第6日,False,晴,,2,,,2,1,2,4,1-2,330,1-2-4,520,逃げ,0,2,3,1,4.732,5.64,5.52,5.82,31.47,6.77,2,0.04,0
202401081805,2024-01-08,18,徳山,5,1800,一般,3,第3日,False,晴,,2,,,2,1,3,5,1-3,300,1-3-5,590,逃げ,1,2,3,0,5.487,7.42,6.15,5.54,30.15,6.8,5,0.03,0
202401081809,2024-01-08,18,徳山,9,1800,一般,3,第3日,False,晴,,4,,,4,2,4,3,2-4,1690,2-4-3,11070,差し,1,1,3,1,4.815,6.86,4.55,5.04,30.2,6.87,5,0.14,1
202401082010,2024-01-08,20,若松,10,1800,一般,1,第1日,False,晴,,1,,,1,1,2,4,1-2,360,1-2-4,1580,逃げ,0,4,2,0,5.507,6.0,5.95,7.22,34.48,6.86,1,0.0,0
202401082211,2024-01-08,22,福岡,11,1800,一般,6,第6日,False,晴,,2,,,2,4,6,1,4-6,2540,4-6-1,8290,まくり差し,4,1,1,0,6.243,7.04,6.35,7.03,27.23,6.78,4,0.04,0
202401090207,2024-01-09,02,戸田,7,1800,一般,7,第7日,False,晴,,1,,,1,2,1,3,2-1,3870,2-1-3,7960,差し,1,0,4,1,4.32,6.91,6.91,6.4,28.09,6.66,1,0.0,0
202401090609,2024-01-09,06,浜名湖,9,1800,一般,4,第4日,False,晴,,2,,,1,3,4,5,3-4,1210,3-4-5,1950,まくり,1,2,3,0,4.998,5.85,5.85,5.37,30.26,6.6,6,0.07,0
202401090703,2024-01-09,07,蒲郡,3,1800,一般,3,第3日,False,晴,,2,,,1,1,3,5,1-3,1390,1-3-5,3310,逃げ,2,1,3,0,5.802,7.26,5.72,4.19,25.49,6.63,5,0.05,0
202401090906,2024-01-09,09,津,6,1800,一般,3,第3日,False,晴,,3,,,2,1,5,2,1-5,440,1-5-2,680,逃げ,1,2,2,1,4.995,7.21,5.71,0.0,25.0,6.76,6,0.01,0
202401091508,2024-01-09,15,丸亀,8,1800,一般,5,第5日,False,晴,,2,,,2,1,2,5,1-2,190,1-2-5,540,逃げ,1,2,2,1,4.908,6.97,6.97,8.26,37.66,6.65,1,0.0,0
202401091509,2024-01-09,15,丸亀,9,1800,一般,5,第5日,False,晴,,2,,,2,2,1,5,2-1,900,2-1-5,1950,まくり,3,0,3,0,5.708,7.26,6.72,7.0,20.83,6.71,6,0.01,0
202401100705,2024-01-10,07,蒲郡,5,1800,一般,4,第4日,False,曇り,,3,,,1,2,5,1,2-5,1290,2-5-1,5000,差し,2,1,3,0,5.473,6.95,4.91,5.0,36.15,6.69,5,0.08,0
202401100810,2024-01-10,08,常滑,10,1800,一般,1,第1日,False,曇り,,1,,,0,1,5,4,1-5,440,1-5-4,1240,逃げ,0,3,3,0,4.93,5.92,5.92,6.71,16.67,6.79,5,0.01,0
202401101403,2024-01-10,14,鳴門,3,1800,一般,3,第3日,False,曇り,,1,,,1,1,5,2,1-5,1140,1-5-2,2380,逃げ,1,2,3,0,5.28,6.27,5.97,6.32,33.94,6.93,5,0.11,0
202401101512,2024-01-10,15,丸亀,12,1800,一般,6,第6日,False,晴,,5,,,5,5,1,6,5-1,3760,5-1-6,16690,差し,6,0,0,0,6.352,6.72,6.69,6.5,16.18,6.58,6,0.03,1
202401101603,2024-01-10,16,児島,3,1800,一般,3,第3日,False,雨,,1,,,1,1,4,3,1-4,420,1-4-3,1480,逃げ,0,1,5,0,4.67,5.22,4.54,3.29,22.22,6.8,4,0.01,0
202401101704,2024-01-10,17,宮島,4,1800,一般,1,第1日,False,曇り,,2,,,2,6,3,5,6-3,4550,6-3-5,48720,まくり,1,2,3,0,4.962,6.45,4.98,5.4,45.21,6.67,2,0.08,1
202401110203,2024-01-11,02,戸田,3,1800,一般,1,第1日,False,曇り,,2,,,1,2,1,3,2-1,680,2-1-3,1080,まくり,1,2,3,0,5.11,6.3,4.53,3.9,42.98,6.64,3,0.23,0
202401110603,2024-01-11,06,浜名湖,3,1800,一般,6,第6日,False,曇り,,2,,,1,4,2,1,4-2,12550,4-2-1,63600,まくり差し,0,1,5,0,4.638,5.79,5.07,4.42,44.37,6.67,3,0.02,1
202401110605,2024-01-11,06,浜名湖,5,1800,一般,6,第6日,False,曇り,,1,,,1,4,1,3,4-1,4310,4-1-3,11230,まくり,0,1,5,0,4.242,5.6,5.6,6.0,36.02,6.59,1,0.0,1
202401110606,2024-01-11,06,浜名湖,6,1800,一般,6,第6日,False,曇り,,1,,,1,3,4,1,3-4,5900,3-4-1,17950,まくり差し,2,0,3,1,4.352,7.01,5.7,6.5,26.77,6.66,5,0.05,1
202401110610,2024-01-11,06,浜名湖,10,1800,一般,6,第6日,False,曇り,,0,,,0,1,5,3,1-5,2020,1-5-3,5150,逃げ,2,0,4,0,4.91,5.7,4.42,3.54,25.34,6.52,6,0.15,0
202401110809,2024-01-11,08,常滑,9,1800,一般,2,第2日,False,晴,,1,,,0,1,4,3,1-4,220,1-4-3,850,抜き,1,1,4,0,4.692,7.44,4.7,5.82,18.75,6.74,2,0.07,0
202401111406,2024-01-11,14,鳴門,6,1800,一般,4,第4日,False,晴,,6,,,6,2,1,3,2-1,620,2-1-3,1210,差し,0,2,4,0,4.73,5.91,4.63,0.0,41.44,6.83,6,0.23,0
202401111606,2024-01-11,16,児島,6,1800,一般,4,第4日,False,晴,,4,,,3,3,1,5,3-1,1820,3-1-5,6160,まくり差し,1,2,3,0,4.857,6.13,6.06,6.7,42.31,6.78,3,0.01,0
202401111607,2024-01-11,16,児島,7,1800,一般,4,第4日,False,晴,,2,,,3,2,1,3,2-1,1000,2-1-3,1970,差し,2,1,3,0,5.442,6.57,5.03,4.36,24.14,6.77,2,0.06,0
202401111701,2024-01-11,17,宮島,1,1800,一般,2,第2日,False,晴,,1,,,1,1,2,5,1-2,320,1-2-5,950,逃げ,0,1,5,0,4.783,5.31,5.31,7.07,28.99,6.68,5,0.07,0
202401111802,2024-01-11,18,徳山,2,1800,一般,6,第6日,False,晴,,2,,,2,6,2,1,6-2,3380,6-2-1,5510,まくり差し,1,1,3,1,4.328,6.26,5.67,6.58,37.19,6.95,2,0.01,0
202401111909,2024-01-11,19,下関,9,1800,一般,1,第1日,False,晴,,5,,,5,3,1,6,3-1,1660,3-1-6,11310,まくり差し,1,1,4,0,4.793,6.66,6.66,5.11,37.93,6.71,5,0.01,1
202401112007,2024-01-11,20,若松,7,1800,一般,4,第4日,False,晴,,5,,,5,1,3,6,1-3,330,1-3-6,1750,逃げ,1,3,1,1,4.918,6.64,5.86,6.5,22.73,6.77,2,0.02,0
202401112011,2024-01-11,20,若松,11,1800,一般,4,第4日,False,晴,,5,,,5,1,3,2,1-3,300,1-3-2,550,逃げ,3,2,1,0,6.06,7.18,6.1,6.48,37.04,6.7,1,0.0,0
202401112112,2024-01-11,21,芦屋,12,1800,一般,3,第3日,False,晴,,3,,,3,1,5,3,1-5,1490,1-5-3,5630,逃げ,4,2,0,0,6.268,6.64,6.18,7.83,40.96,6.78,1,0.0,0
202401112406,2024-01-11,24,大村,6,1800,一般,1,第1日,False,晴,,3,,,2,1,3,2,1-3,330,1-3-2,820,逃げ,5,1,0,0,6.817,7.44,6.65,7.23,35.46,6.85,2,0.05,0
202401112410,2024-01-11,24,大村,10,1800,一般,1,第1日,False,晴,,3,,,2,1,6,5,1-6,2760,1-6-5,8150,逃げ,6,0,0,0,7.37,8.38,6.91,7.33,39.58,6.8,6,0.03,0
202401120403,2024-01-12,04,平和島,3,1800,一般,1,第1日,False,晴,,2,,,3,2,6,4,2-6,1380,2-6-4,5100,まくり,1,1,3,1,4.908,6.81,3.81,4.36,25.23,6.73,6,0.21,0
202401120811,2024-01-12,08,常滑,11,1800,一般,3,第3日,False,晴,,1,,,0,1,4,2,1-4,430,1-4-2,610,逃げ,2,2,2,0,5.755,8.0,7.44,6.56,12.5,6.76,1,0.0,0
202401120901,2024-01-12,09,津,1,1800,一般,6,第6日,False,晴,,4,,,2,1,4,5,1-4,960,1-4-5,2620,逃げ,1,0,4,1,4.328,6.52,6.52,6.61,76.47,6.65,2,0.04,0
202401121601,2024-01-12,16,児島,1,1800,一般,5,第5日,False,晴,,2,,,3,1,2,4,1-2,250,1-2-4,730,逃げ,1,0,5,0,4.932,6.45,6.45,5.83,31.03,6.87,5,0.03,0
202401121710,2024-01-12,17,宮島,10,1800,一般,3,第3日,False,晴,,3,,,3,4,6,5,4-6,1560,4-6-5,4900,まくり,1,2,3,0,4.998,6.02,4.91,3.6,30.14,6.64,4,0.04,0
202401130408,2024-01-13,04,平和島,8,1800,一般,2,第2日,False,曇り,,1,,,3,4,5,2,4-5,530,4-5-2,1640,まくり,1,1,3,1,4.688,7.09,5.66,4.3,27.93,6.62,4,0.0,0
202401130512,2024-01-13,05,多摩川,12,1800,一般,4,第4日,False,曇り,,6,,,3,1,3,2,1-3,410,1-3-2,1070,逃げ,1,1,4,0,5.413,6.48,5.85,6.37,32.68,6.61,5,0.1,0
202401130707,2024-01-13,07,蒲郡,7,1800,一般,1,第1日,False,晴,,6,,,3,1,3,2,1-3,570,1-3-2,3350,逃げ,1,2,3,0,4.788,6.32,5.66,5.96,30.37,6.72,6,0.15,0
202401130808,2024-01-13,08,常滑,8,1800,一般,4,第4日,False,雨,,6,,,5,1,6,2,1-6,4240,1-6-2,13750,逃げ,1,1,4,0,5.132,7.38,4.26,4.58,40.91,6.76,6,0.12,1
202401131608,2024-01-13,16,児島,8,1800,一般,6,第6日,False,晴,,6,,,5,1,3,4,1-3,240,1-3-4,710,逃げ,1,0,3,2,3.883,6.45,6.45,5.83,31.03,6.92,3,0.01,0
202401132104,2024-01-13,21,芦屋,4,1800,一般,5,第5日,False,晴,,5,,,5,1,3,5,1-3,230,1-3-5,710,逃げ,2,2,2,0,5.878,6.83,6.83,6.77,43.67,6.82,1,0.0,0
202401132112,2024-01-13,21,芦屋,12,1800,一般,5,第5日,False,晴,,4,,,4,3,4,1,3-4,3670,3-4-1,10100,まくり,4,1,1,0,6.322,6.93,6.18,7.83,40.96,6.7,1,0.0,1
202401132201,2024-01-13,22,福岡,1,1800,一般,1,第1日,False,晴,,4,,,4,1,2,5,1-2,270,1-2-5,1040,逃げ,0,1,4,1,4.305,6.11,6.11,6.02,40.34,6.85,4,0.05,0
202401132404,2024-01-13,24,大村,4,1800,一般,3,第3日,False,晴,,5,,,4,1,3,5,1-3,500,1-3-5,1440,逃げ,6,0,0,0,7.21,7.74,7.01,6.5,28.68,6.75,6,0.06,0
202401140202,2024-01-14,02,戸田,2,1800,一般,4,第4日,False,晴,,1,,,1,6,1,3,6-1,5370,6-1-3,36440,まくり,2,1,3,0,5.318,6.3,4.75,5.27,34.19,6.57,6,0.16,1
202401140209,2024-01-14,02,戸田,9,1800,一般,4,第4日,False,晴,,4,,,3,1,3,2,1-3,640,1-3-2,2380,逃げ,0,2,4,0,5.01,6.2,4.79,4.82,21.57,6.73,6,0.06,0
